"","estimate","pt","pr","covariate.set","n","m"
"288",6.65463952904269,0.1,0.25,"Minimal",150,1000
"289",6.38257751699912,0.1,0.5,"Extended",150,1000
"290",6.52425000510388,0.1,0.5,"Minimal",150,1000
"291",5.88106544154664,0.1,0.25,"Extended",150,1000
"292",5.65899729097812,0.1,0.25,"Minimal",150,1000
"293",7.33340676660009,0.1,0.5,"Extended",150,1000
"294",7.33846742821381,0.1,0.5,"Minimal",150,1000
"295",6.61468547135321,0.1,0.25,"Extended",150,1000
"296",6.43445113158524,0.1,0.25,"Minimal",150,1000
"297",5.64576955301844,0.1,0.5,"Extended",150,1000
"298",6.01383549956751,0.1,0.5,"Minimal",150,1000
"299",6.79389512736565,0.1,0.25,"Extended",150,1000
"300",6.5544686756394,0.1,0.25,"Minimal",150,1000
"301",7.83912852173518,0.1,0.5,"Extended",150,1000
"302",6.91167154885406,0.1,0.5,"Minimal",150,1000
"303",5.64917660545717,0.1,0.25,"Extended",150,1000
"304",5.51111605323664,0.1,0.25,"Minimal",150,1000
"305",7.85829097435715,0.1,0.5,"Extended",150,1000
"306",7.64615546583973,0.1,0.5,"Minimal",150,1000
"307",6.59903583145437,0.1,0.25,"Extended",150,1000
"308",6.79693442347526,0.1,0.25,"Minimal",150,1000
"309",7.66823507579127,0.1,0.5,"Extended",150,1000
"310",7.58333162789855,0.1,0.5,"Minimal",150,1000
"311",7.95453787140405,0.1,0.25,"Extended",150,1000
"312",7.6550101179864,0.1,0.25,"Minimal",150,1000
"313",6.2569093083262,0.1,0.5,"Extended",150,1000
"314",6.63943993581541,0.1,0.5,"Minimal",150,1000
"315",6.5302418410173,0.1,0.25,"Extended",150,1000
"316",6.52087707333668,0.1,0.25,"Minimal",150,1000
"317",6.75946774822183,0.1,0.5,"Extended",150,1000
"318",5.85020213948089,0.1,0.5,"Minimal",150,1000
"319",5.91075498272162,0.1,0.25,"Extended",150,1000
"320",5.97384030775212,0.1,0.25,"Minimal",150,1000
"321",6.89117379499289,0.1,0.5,"Extended",150,1000
"322",7.12799482652708,0.1,0.5,"Minimal",150,1000
"323",7.25746974394386,0.1,0.25,"Extended",150,1000
"324",7.17391315687784,0.1,0.25,"Minimal",150,1000
"325",6.54495497491802,0.1,0.5,"Extended",150,1000
"326",6.30601108151298,0.1,0.5,"Minimal",150,1000
"327",5.45039422542649,0.1,0.25,"Extended",150,1000
"328",5.6939368310998,0.1,0.25,"Minimal",150,1000
"329",6.45032025921146,0.1,0.5,"Extended",150,1000
"330",6.14934811010829,0.1,0.5,"Minimal",150,1000
"331",6.92206771685822,0.1,0.25,"Extended",150,1000
"332",6.99135000880229,0.1,0.25,"Minimal",150,1000
"333",8.53123369852028,0.1,0.5,"Extended",150,1000
"334",7.89002784298774,0.1,0.5,"Minimal",150,1000
"335",7.29313680542588,0.1,0.25,"Extended",150,1000
"336",7.3135408545137,0.1,0.25,"Minimal",150,1000
"337",6.09835035515242,0.1,0.5,"Extended",150,1000
"338",5.29249855762721,0.1,0.5,"Minimal",150,1000
"339",7.97672809646353,0.1,0.25,"Extended",150,1000
"340",7.54829219241924,0.1,0.25,"Minimal",150,1000
"341",8.10943393239052,0.1,0.5,"Extended",150,1000
